Cluster,silhueta,davies
2,0.2560489,1.5330838545213734
3,0.3158443,1.1973785358605735
4,0.3541347,1.0125506174912147
5,0.3401378,0.9488773072130655
6,0.34439218,0.9130552488840714
7,0.3608076,0.9316923416279762
8,0.34960294,0.9153358925384727
9,0.3609119,0.7994917370011547
10,0.33016303,0.7962176568181081
11,0.2808895,0.8569698039428193
12,0.26206765,0.8766705112025673
Cluster,silhueta,davies
2,0.2560489,1.5330838545213734
3,0.3158443,1.1973785358605735
4,0.3541347,1.0125506174912147
5,0.3401378,0.9488773072130655
6,0.34439218,0.9130552488840714
7,0.3608076,0.9316923416279762
8,0.34960294,0.9153358925384727
9,0.3609119,0.7994917370011547
10,0.33016303,0.7962176568181081
11,0.2808895,0.8569698039428193
12,0.26206765,0.8766705112025673
