Cluster,silhueta,davies
2,0.25914508,1.5063961275062092
3,0.34485683,1.0624809509291941
4,0.31417567,1.055127145186281
5,0.24586071,1.2024706847534399
6,0.29434592,0.9313933705401941
7,0.31132832,0.9348989067252441
8,0.29800346,0.8168365206535453
9,0.30459473,0.9216429939968214
10,0.24355385,0.7731861802803865
11,0.28998956,0.7565861677930698
12,0.2656786,0.8120714461957422
Cluster,silhueta,davies
2,0.25914508,1.5063961275062092
3,0.34485683,1.0624809509291941
4,0.31417567,1.055127145186281
5,0.24586071,1.2024706847534399
6,0.29434592,0.9313933705401941
7,0.31132832,0.9348989067252441
8,0.29800346,0.8168365206535453
9,0.30459473,0.9216429939968214
10,0.24355385,0.7731861802803865
11,0.28998956,0.7565861677930698
12,0.2656786,0.8120714461957422
