Cluster,silhueta,davies
2,0.4860299,0.7734113201710261
3,0.48205653,0.7342608771887247
4,0.46314353,0.8157672721885222
5,0.40969893,0.926416510070378
6,0.32910404,1.0165473324547698
7,0.30097154,1.0049601604975629
8,0.2322829,1.037813538438761
9,0.20224963,1.1047313981483813
10,0.18622705,0.9883817730494713
11,0.17405969,0.99014407739298
12,0.17639177,0.9122241908480143
Cluster,silhueta,davies
2,0.4860299,0.7734113201710261
3,0.48205653,0.7342608771887247
4,0.46314353,0.8157672721885222
5,0.40969893,0.926416510070378
6,0.32910404,1.0165473324547698
7,0.30097154,1.0049601604975629
8,0.2322829,1.037813538438761
9,0.20224963,1.1047313981483813
10,0.18622705,0.9883817730494713
11,0.17405969,0.99014407739298
12,0.17639177,0.9122241908480143
