Cluster,silhueta,davies
2,0.25914508,1.5063961275062092
3,0.19613682,1.4376584951381244
4,0.17339537,1.224805834514694
5,0.19260071,1.1077807731956075
6,0.3001773,0.930190122995865
7,0.305121,0.8943534365159426
8,0.25035205,0.9444533383478483
9,0.18562539,1.0036872918503357
10,0.22027482,0.9030665051649605
11,0.20145054,0.9963376867464097
12,0.20914912,0.9039096055231068
Cluster,silhueta,davies
2,0.25914508,1.5063961275062092
3,0.19613682,1.4376584951381244
4,0.17339537,1.224805834514694
5,0.19260071,1.1077807731956075
6,0.3001773,0.930190122995865
7,0.305121,0.8943534365159426
8,0.25035205,0.9444533383478483
9,0.18562539,1.0036872918503357
10,0.22027482,0.9030665051649605
11,0.20145054,0.9963376867464097
12,0.20914912,0.9039096055231068
