Cluster,silhueta,davies
2,0.4329144,0.9173221727635767
3,0.42623368,0.8298871608489867
4,0.4240346,0.8632568622861155
5,0.4411657,0.8723495318447894
6,0.34300813,0.8248242813991088
7,0.2985074,0.8802520038210039
8,0.2826337,0.8990160997830647
9,0.2555359,0.901238608107011
10,0.26113412,0.8983606002717043
11,0.2496194,0.9061405307215744
12,0.22253518,0.8112647511539745
Cluster,silhueta,davies
2,0.4329144,0.9173221727635767
3,0.42623368,0.8298871608489867
4,0.4240346,0.8632568622861155
5,0.4411657,0.8723495318447894
6,0.34300813,0.8248242813991088
7,0.2985074,0.8802520038210039
8,0.2826337,0.8990160997830647
9,0.2555359,0.901238608107011
10,0.26113412,0.8983606002717043
11,0.2496194,0.9061405307215744
12,0.22253518,0.8112647511539745
